Processes,Size,Latency
2,2,0.12
2,4,0.12
2,8,0.11
2,16,0.12
2,32,0.12
2,64,0.12
2,128,0.15
2,256,0.16
2,512,0.17
2,1024,0.20
2,2048,0.27
2,4096,0.43
2,8192,0.75
2,16384,1.07
2,32768,1.81
2,65536,3.37
2,131072,6.26
2,262144,17.51
4,2,0.15
4,4,0.15
4,8,0.15
4,16,0.15
4,32,0.16
4,64,0.20
4,128,0.26
4,256,0.28
4,512,0.32
4,1024,0.44
4,2048,0.70
4,4096,1.03
4,8192,1.54
4,16384,2.40
4,32768,4.25
4,65536,7.88
4,131072,36.36
4,262144,749.57
8,2,0.58
8,4,0.57
8,8,0.61
8,16,0.63
8,32,0.73
8,64,0.94
8,128,1.15
8,256,1.31
8,512,1.72
8,1024,2.56
8,2048,4.45
8,4096,8.15
8,8192,14.26
8,16384,26.80
8,32768,52.13
8,65536,101.97
8,131072,896.58
8,262144,2044.85
16,2,0.92
16,4,0.92
16,8,1.00
16,16,1.19
16,32,1.50
16,64,1.72
16,128,1.90
16,256,2.30
16,512,3.44
16,1024,6.26
16,2048,11.13
16,4096,20.67
16,8192,39.46
16,16384,77.78
16,32768,70.18
16,65536,161.31
16,131072,355.03
16,262144,728.81
32,2,1.35
32,4,1.38
32,8,1.56
32,16,1.88
32,32,2.19
32,64,2.59
32,128,3.07
32,256,4.54
32,512,7.31
32,1024,13.44
32,2048,24.87
32,4096,47.45
32,8192,92.86
32,16384,94.89
32,32768,217.25
32,65536,516.33
32,131072,1086.19
32,262144,2145.05
64,2,1.51
64,4,1.62
64,8,2.18
64,16,2.60
64,32,2.82
64,64,3.56
64,128,6.00
64,256,10.71
64,512,19.56
64,1024,36.54
64,2048,70.64
64,4096,139.17
64,8192,111.28
64,16384,251.63
64,32768,525.76
64,65536,1103.68
64,131072,2290.97
64,262144,4908.29
128,2,2.54
128,4,2.99
128,8,3.52
128,16,3.87
128,32,4.59
128,64,5.74
128,128,7.96
128,256,13.13
128,512,22.61
128,1024,42.60
128,2048,80.63
128,4096,160.44
128,8192,428.90
128,16384,880.83
128,32768,1702.21
128,65536,3208.53
128,131072,6340.66
128,262144,11054.56
